id,text,options,answer,solution,notes,table,graph
A16,,"{""A"": ""$\\frac{1}{2}$"", ""B"": ""$\\frac{1}{2}\\left(e^2-1\\right)$"", ""C"": ""1"", ""D"": ""$e-1$""}",A,$\int_1^0(\ln x)\left(\frac{1}{x} d x\right)=\left.\frac{1}{2} \ln ^2 x\right|_1 ^1=\frac{1}{2}(1-0)$,$\int_1^0(\ln x)\left(\frac{1}{x} d x\right)=\left.\frac{1}{2} \ln ^2 x\right|_1 ^1=\frac{1}{2}(1-0)$,,
A17,,"{""A"": ""-1"", ""B"": ""$e+1$"", ""C"": ""1"", ""D"": ""$e-1$""}",C,"Use the Parts Formula with $u=x$ and $d v=e^x d x$. Then $d u=d x$ and $v=e^x$.
The result is $\left.\left|x e^x-\int e^x d x\right|\right|_0 ^1=\left.\left(x e^x-e^x\right)\right|_0 ^1=(e-e)-(0-1)$.","Use the Parts Formula with $u=x$ and $d v=e^x d x$. Then $d u=d x$ and $v=e^x$.
The result is $\left.\left|x e^x-\int e^x d x\right|\right|_0 ^1=\left.\left(x e^x-e^x\right)\right|_0 ^1=(e-e)-(0-1)$.",,
A18,,"{""A"": ""$\\ln 2$"", ""B"": ""$\\frac{3}{8}$"", ""C"": ""$-\\frac{1}{2} \\ln 2$"", ""D"": ""$\\ln \\sqrt{2}$""}",D,$\frac{1}{2} \int_0^{\pi / 6} \frac{2 \cos \theta d \theta}{1+2 \sin \theta}=\left.\frac{1}{2} \ln (1+2 \sin \theta)\right|_0 ^{\pi / 6}$ and get $\frac{1}{2}(\ln (1+1)-\ln 1)$,$\frac{1}{2} \int_0^{\pi / 6} \frac{2 \cos \theta d \theta}{1+2 \sin \theta}=\left.\frac{1}{2} \ln (1+2 \sin \theta)\right|_0 ^{\pi / 6}$ and get $\frac{1}{2}(\ln (1+1)-\ln 1)$,,
A19,,"{""A"": ""$\\ln \\sqrt{3}$"", ""B"": ""$\\frac{8}{9}$"", ""C"": ""$\\ln \\frac{3}{2}$"", ""D"": ""$\\ln 3$""}",A,$\frac{1}{2} \int_{\sqrt{2}}^2 \frac{2 u}{u^2-1} d u=\left.\frac{1}{2} \ln \left(u^2-1\right)\right|_{\sqrt{2}} ^2=\frac{1}{2}(\ln 3-\ln 1)$,$\frac{1}{2} \int_{\sqrt{2}}^2 \frac{2 u}{u^2-1} d u=\left.\frac{1}{2} \ln \left(u^2-1\right)\right|_{\sqrt{2}} ^2=\frac{1}{2}(\ln 3-\ln 1)$,,
A20,,"{""A"": ""$-\\frac{1}{3}$"", ""B"": ""$-\\frac{2}{3}$"", ""C"": ""$\\frac{2}{3}$"", ""D"": ""$\\frac{1}{3}$""}",D,$\frac{1}{2} \int_{\sqrt{2}}^2\left(u^2-1\right)^{-2} \cdot 2 u d u=\left.\frac{1}{2\left(u^2-1\right)}\right|_{\sqrt{2}} ^2=-\frac{1}{2}\left(\frac{1}{3}-\frac{1}{1}\right)$,$\frac{1}{2} \int_{\sqrt{2}}^2\left(u^2-1\right)^{-2} \cdot 2 u d u=\left.\frac{1}{2\left(u^2-1\right)}\right|_{\sqrt{2}} ^2=-\frac{1}{2}\left(\frac{1}{3}-\frac{1}{1}\right)$,,
A21,,"{""A"": ""1"", ""B"": ""$\\frac{1}{2}$"", ""C"": ""$-\\frac{1}{2}$"", ""D"": ""-1""}",B,$\frac{1}{2} \int_{\pi / 12}^{\pi / 4} \sin ^{-2} 2 x \cos 2 x(2 d x)=-\left.\frac{1}{2} \cdot \frac{1}{\sin 2 x}\right|_{\pi / 12} ^{\pi / 4}=-\frac{1}{2}\left(\frac{1}{1}-\frac{1}{1 / 2}\right)$,$\frac{1}{2} \int_{\pi / 12}^{\pi / 4} \sin ^{-2} 2 x \cos 2 x(2 d x)=-\left.\frac{1}{2} \cdot \frac{1}{\sin 2 x}\right|_{\pi / 12} ^{\pi / 4}=-\frac{1}{2}\left(\frac{1}{1}-\frac{1}{1 / 2}\right)$,,
A22,,"{""A"": ""$e$"", ""B"": ""$2+e$"", ""C"": ""$\\frac{1}{e}$"", ""D"": ""$1+e$""}",A,$\int_0^1\left(1+e^x\right) d x=\left.\left(x+e^x\right)\right|_0 ^1=(1+e)-1$,$\int_0^1\left(1+e^x\right) d x=\left.\left(x+e^x\right)\right|_0 ^1=(1+e)-1$,,
A23,,"{""A"": ""$\\ln 2$"", ""B"": ""$1+e$"", ""C"": ""$-\\ln 2$"", ""D"": ""$\\ln \\frac{e+1}{2}$""}",D,"Evaluate $\left.\ln \left(e^x+1\right)\right|_0 ^1$, getting $\ln (e+1)-\ln 2$.","Evaluate $\left.\ln \left(e^x+1\right)\right|_0 ^1$, getting $\ln (e+1)-\ln 2$.",,
A24,,"{""A"": ""$\\int_{\\pi / 4}^{\\pi / 3} \\sec \\theta d \\theta$"", ""B"": ""$\\int_1^{\\sqrt{3}} \\sec ^3 \\theta d \\theta$"", ""C"": ""$\\int_{\\pi / 4}^{\\pi / 3} \\sec ^3 \\theta d \\theta$"", ""D"": ""$\\int_{\\pi / 4}^{\\pi / 3} \\sec ^2 \\theta \\tan \\theta d \\theta$""}",C,Note that $d x=\sec ^2 \theta d \theta$ and that $\sqrt{1+\tan ^2 \theta}=\sec \theta$. Be sure to express the limits as values of $\theta: 1=\tan \theta$ yields $\theta=\frac{\pi}{4} ; \sqrt{3}=\tan \theta$ yields $\theta=\frac{\pi}{3}$.,Note that $d x=\sec ^2 \theta d \theta$ and that $\sqrt{1+\tan ^2 \theta}=\sec \theta$. Be sure to express the limits as values of $\theta: 1=\tan \theta$ yields $\theta=\frac{\pi}{4} ; \sqrt{3}=\tan \theta$ yields $\theta=\frac{\pi}{3}$.,,
A25,,"{""A"": ""$\\int_1^2 \\frac{d u}{u^2-1}$"", ""B"": ""$\\int_1^2 \\frac{2 d u}{u^2-1}$"", ""C"": ""$2 \\int_0^3 \\frac{d u}{(u-1)(u+1)}$"", ""D"": ""$2 \\int_1^2 \\frac{d u}{u\\left(u^2-1\\right)}$""}",B,"If $u=\sqrt{x+1}$, then $u^2=x+1$, and $2 u d u=d x$. When you substitute for the limits you get $2 \int_1^4 \frac{u d u}{u\left(u^2-1\right)}$. Since $u \neq 0$ on its interval of integration, you may divide the numerator and denominator by it.","If $u=\sqrt{x+1}$, then $u^2=x+1$, and $2 u d u=d x$. When you substitute for the limits you get $2 \int_1^4 \frac{u d u}{u\left(u^2-1\right)}$. Since $u \neq 0$ on its interval of integration, you may divide the numerator and denominator by it.",,
A26,,"{""A"": ""$-1 / 2$"", ""B"": ""3"", ""C"": ""4"", ""D"": ""-1""}",C,$\int_0^0 f^{\prime}(x) d x=f(0)-f(8)=11-7=4$,$\int_0^0 f^{\prime}(x) d x=f(0)-f(8)=11-7=4$,"{""\\hline$x$"": [""\\hline 0""], ""$f(x)$"": [""11""], ""$f^{\\prime}(x)$ \\\\"": [""3 \\\\""]}",
A27,,"{""A"": ""19"", ""B"": ""36"", ""C"": ""38"", ""D"": ""54""}",C,"On $[0,6]$ with $n=3, \Delta x=2$. Heights of rectangles at $x=1,3$, and 5 are 5 , 9, and 5, respectively; $M(3)=(5+9+5)(2)$.","On $[0,6]$ with $n=3, \Delta x=2$. Heights of rectangles at $x=1,3$, and 5 are 5 , 9, and 5, respectively; $M(3)=(5+9+5)(2)$.",,
A28,,"{""A"": ""30"", ""B"": ""32"", ""C"": ""33"", ""D"": ""41""}",C,$\int_4^{10} f(x) d x \approx\left(\frac{2+6}{2}\right) \cdot 2+\left(\frac{6+5}{2}\right) \cdot 1+\left(\frac{5+8}{2}\right) \cdot 3 \approx 33$,$\int_4^{10} f(x) d x \approx\left(\frac{2+6}{2}\right) \cdot 2+\left(\frac{6+5}{2}\right) \cdot 1+\left(\frac{5+8}{2}\right) \cdot 3 \approx 33$,,
A29,,"{""A"": ""$\\frac{1}{2}&lt;\\int_1^2 \\frac{1}{x} d x&lt;1$"", ""B"": ""$\\frac{1}{3}&lt;\\int_1^3 \\frac{1}{x} d x&lt;2$"", ""C"": ""$\\frac{1}{3}&lt;\\int_2^3 \\frac{1}{x} d x&lt;\\frac{1}{2}$"", ""D"": ""$\\frac{5}{6}&lt;\\int_1^3 \\frac{1}{x} d x&lt;\\frac{3}{2}$""}",D,For $L(2)$ use the circumscribed rectangles: $1 \cdot 1+\frac{1}{2} \cdot 1=\frac{3}{2}$; for $R(2)$ use the inscribed rectangles: $\frac{1}{2} \cdot 1+\frac{1}{3} \cdot 1=\frac{5}{6}$,For $L(2)$ use the circumscribed rectangles: $1 \cdot 1+\frac{1}{2} \cdot 1=\frac{3}{2}$; for $R(2)$ use the inscribed rectangles: $\frac{1}{2} \cdot 1+\frac{1}{3} \cdot 1=\frac{5}{6}$,,
A30,,"{""A"": ""$L&lt;A&lt;T&lt;R$"", ""B"": ""$L&lt;T&lt;A&lt;R$"", ""C"": ""$R&lt;A&lt;T&lt;L$"", ""D"": ""$R&lt;T&lt;A&lt;L$""}",D,"On $[0,1] f(x)=\cos x$ is decreasing, so $L&gt;A, R&lt;A$, and $T&gt;R$. Furthermore, $f$ is concave downward, so $T&lt;A$.","On $[0,1] f(x)=\cos x$ is decreasing, so $L&gt;A, R&lt;A$, and $T&gt;R$. Furthermore, $f$ is concave downward, so $T&lt;A$.",,
A31,,"{""A"": ""$\\frac{7}{2}$"", ""C"": ""$\\frac{9}{2}$"", ""D"": ""5""}",D,"On the interval $[-1,3]$ the area under the graph of $y=|x|$ is the sum of the areas of two triangles: $\frac{1}{2}(1)(1)+\frac{1}{2}(3)(3)=5$.","On the interval $[-1,3]$ the area under the graph of $y=|x|$ is the sum of the areas of two triangles: $\frac{1}{2}(1)(1)+\frac{1}{2}(3)(3)=5$.",,
A32,,"{""A"": ""$\\frac{5}{2}$"", ""B"": ""$\\frac{7}{2}$"", ""C"": ""$\\frac{11}{2}$"", ""D"": ""$\\frac{13}{2}$""}",D,"Note that the graph $y=|x+1|$ is the graph of $y=|x|$ translated one unit to the left. The area under the graph $y=|x+1|$ on the interval $[-3,2]$ is the sum of the areas of two triangles: $\frac{1}{2}(2)(2)+\frac{1}{2}(3)(3)=\frac{13}{2}$.","Note that the graph $y=|x+1|$ is the graph of $y=|x|$ translated one unit to the left. The area under the graph $y=|x+1|$ on the interval $[-3,2]$ is the sum of the areas of two triangles: $\frac{1}{2}(2)(2)+\frac{1}{2}(3)(3)=\frac{13}{2}$.",,
A33,,"{""A"": ""2"", ""B"": ""4"", ""C"": ""$2 \\pi$"", ""D"": ""$4 \\pi$""}",C,"Because $y=\sqrt{64-x^2}$ is a semicircle of radius 8 , its area is $\int_{-6}^3 \sqrt{64-x^2} d x= \frac{1}{2} \cdot \pi \cdot(8)^2=32 \pi$. The domain is $[-8,8]$, or 16 units wide. Hence the average height of the function is $\frac{1}{8-(-8)} \int_{-8}^8 \sqrt{64-x^2} d x=\frac{1}{16} \cdot 32 \pi=2 \pi$.","Because $y=\sqrt{64-x^2}$ is a semicircle of radius 8 , its area is $\int_{-6}^3 \sqrt{64-x^2} d x= \frac{1}{2} \cdot \pi \cdot(8)^2=32 \pi$. The domain is $[-8,8]$, or 16 units wide. Hence the average height of the function is $\frac{1}{8-(-8)} \int_{-8}^8 \sqrt{64-x^2} d x=\frac{1}{16} \cdot 32 \pi=2 \pi$.",,
A34,,"{""A"": ""$\\frac{3}{\\pi}$"", ""B"": ""$\\frac{3(2-\\sqrt{3})}{\\pi}$"", ""C"": ""$\\frac{3}{2 \\pi}$"", ""D"": ""$\\frac{2}{3 x}$""}",B,The average value is equal to $\frac{1}{\pi / 2-\pi / 3} \int_{v / 3}^{\pi / 2} \cos x d x$.,The average value is equal to $\frac{1}{\pi / 2-\pi / 3} \int_{v / 3}^{\pi / 2} \cos x d x$.,,
A35,,"{""A"": ""$\\frac{3 \\sqrt{3}}{\\pi}$"", ""B"": ""$\\frac{\\sqrt{3}}{\\pi}$"", ""C"": ""$\\frac{12}{\\pi}(\\sqrt{3}-1)$"", ""D"": ""$3(\\sqrt{3}-1)$""}",C,The average value is equal to $\frac{1}{\pi / 4-\pi / 6} \int_{v / 6}^{\pi / 4} \csc ^2 x \mathrm{~d} x$.,The average value is equal to $\frac{1}{\pi / 4-\pi / 6} \int_{v / 6}^{\pi / 4} \csc ^2 x \mathrm{~d} x$.,,
A36,,"{""A"": ""$\\lim _{n \\rightarrow \\infty} \\sum_{k=1}^n\\left(\\left(1+\\frac{k}{n}\\right)^3 \\cdot\\left(\\frac{4}{n}\\right)\\right)$"", ""B"": ""$\\lim _{n \\rightarrow \\infty} \\sum_{k=1}^n\\left(\\left(1+\\frac{4 k}{n}\\right)^3 \\cdot\\left(\\frac{1}{n}\\right)\\right)$"", ""C"": ""$\\lim _{k \\rightarrow \\infty} \\sum_{k=1}^n\\left(\\left(1+\\frac{4 k}{n}\\right)^3 \\cdot\\left(\\frac{4}{n}\\right)\\right)$"", ""D"": ""$\\lim _{k \\rightarrow \\infty} \\sum_{k=1}^n\\left(\\left(1+\\frac{k}{n}\\right)^3 \\cdot\\left(\\frac{1}{n}\\right)\\right)$""}",C,"From the integral, we get $a=1, b=5$, so $\Delta x=\frac{5-1}{n}=\frac{4}{n}$ and $x_k=a+k \cdot \Delta x=1+\frac{4 k}{n}= 1+\frac{4 k}{n}$. Replace $x$ with $x_k$ and replace $d x$ with $\Delta x$ in the integrand to get the general term in the summation.","From the integral, we get $a=1, b=5$, so $\Delta x=\frac{5-1}{n}=\frac{4}{n}$ and $x_k=a+k \cdot \Delta x=1+\frac{4 k}{n}= 1+\frac{4 k}{n}$. Replace $x$ with $x_k$ and replace $d x$ with $\Delta x$ in the integrand to get the general term in the summation.",,
A37,,"{""A"": ""$\\lim _{n \\rightarrow \\infty} \\sum_{k=1}^\\pi\\left(\\sin \\left(\\frac{3 k}{n}\\right) \\cdot\\left(\\frac{1}{n}\\right)\\right)$"", ""B"": ""$\\lim _{n \\rightarrow \\infty} \\sum_{k=1}^n\\left(\\sin \\left(\\frac{3 \\pi k}{n}\\right) \\cdot\\left(\\frac{1}{n}\\right)\\right)$"", ""C"": ""$\\lim _{n \\rightarrow \\infty} \\sum_{k=1}^n\\left(\\sin \\left(\\frac{3 k}{n}\\right) \\cdot\\left(\\frac{\\pi}{n}\\right)\\right)$"", ""D"": ""$\\lim _{n \\rightarrow \\infty} \\sum_{k=1}^n\\left(\\sin \\left(\\frac{3 \\pi k}{n}\\right) \\cdot\\left(\\frac{\\pi}{n}\\right)\\right)$""}",D,"From the integral, we get $a=0, b=\pi$, so $\Delta x=\frac{\pi-0}{n}=\frac{\pi}{n}$ and $x_k=a+k \cdot \Delta x= 0+\frac{\pi k}{n}=\frac{\pi k}{n}$, Replace $x$ with $x_k$ and replace $d x$ with $\Delta x$ in the integrand to get the general term in the summation.","From the integral, we get $a=0, b=\pi$, so $\Delta x=\frac{\pi-0}{n}=\frac{\pi}{n}$ and $x_k=a+k \cdot \Delta x= 0+\frac{\pi k}{n}=\frac{\pi k}{n}$, Replace $x$ with $x_k$ and replace $d x$ with $\Delta x$ in the integrand to get the general term in the summation.",,
A38,,"{""A"": ""$\\int_1^4 \\sin (6 x) d x$"", ""B"": ""$\\int_0^3 \\sin (2 x+1) d x$"", ""C"": ""$\\int_1^4 \\sin (2 x) d x$"", ""D"": ""$\\int_0^3 \\sin (6 x+1) d x$""}",B,"From the Riemann Sum, we see $\Delta x=\frac{3}{n}$, then $k \cdot \Delta x=\frac{3 k}{n}$. Notice that the term involving $k$ in the Riemann Sum is not equal to $\frac{3 k}{n}$ but $2\left(\frac{3 k}{n}\right)$. Thus, we choose $x_k=\frac{3 k}{n}$, so $a=0$ and $\Delta x=\frac{b-0}{n}=\frac{3}{n}$, so $b=3$. Since $x_k$ replaces $x_1 f(x)=\sin (2 x+1)$ giving the integral $\int_0^3 \sin (2 x+1) d x$.","From the Riemann Sum, we see $\Delta x=\frac{3}{n}$, then $k \cdot \Delta x=\frac{3 k}{n}$. Notice that the term involving $k$ in the Riemann Sum is not equal to $\frac{3 k}{n}$ but $2\left(\frac{3 k}{n}\right)$. Thus, we choose $x_k=\frac{3 k}{n}$, so $a=0$ and $\Delta x=\frac{b-0}{n}=\frac{3}{n}$, so $b=3$. Since $x_k$ replaces $x_1 f(x)=\sin (2 x+1)$ giving the integral $\int_0^3 \sin (2 x+1) d x$.",,
